Start,End,Time in bed,Heart rate,Activity (steps),Sleep score,睡眠质量（好，一般，不好）
2015/12/17--21:07:00,2015/12/18--5:45:00,8:37,99,16912,100%,
2015/12/20--22:19:00,2015/12/21--6:20:00,8:00,92,15608,72%,
2015/12/21--22:06:00,2015/12/22--5:29:00,7:23,71,12783,80%,
2015/12/22--21:41:00,2015/12/23--5:43:00,8:01,76,11018,82%,
2015/12/23--22:33:00,2015/12/24--6:01:00,7:27,86,2162,79%,
2015/12/29--22:44:00,2015/12/30--7:00:00,8:16,63,9955,76%,
2016/1/1--23:53:00,2016/1/2--8:27:00,8:33,93,7157,79%,
2016/1/2--23:49:00,2016/1/3--8:13:00,8:24,70,16796,85%,
2016/1/3--21:44:00,2016/1/4--5:35:00,7:51,93,3452,69%,
2016/1/4--22:17:00,2016/1/5--5:45:00,7:28,93,18383,74%,
2016/1/5--22:18:00,2016/1/6--6:20:00,8:01,60,7048,66%,
2016/1/13--22:44:00,2016/1/14--6:20:00,7:35,83,15399,72%,
2016/1/14--22:10:00,2016/1/15--5:28:00,7:17,79,12905,73%,
2016/1/17--22:00:00,2016/1/18--5:30:00,7:29,74,18799,76%,
2016/1/18--21:56:00,2016/1/19--5:34:00,7:38,66,8281,78%,
2016/1/19--22:46:00,2016/1/20--6:35:00,7:48,75,13141,75%,
2016/1/20--21:13:00,2016/1/21--6:29:00,9:15,72,10984,77%,
2016/1/21--21:33:00,2016/1/22--6:23:00,8:50,77,10687,79%,
2016/1/22--22:17:00,2016/1/23--8:14:00,9:57,70,2502,79%,
2016/1/24--22:06:00,2016/1/25--6:30:00,8:23,77,10369,85%,
2016/1/25--22:27:00,2016/1/26--6:38:00,8:10,75,8902,88%,
2016/1/26--22:58:00,2016/1/27--6:28:00,7:29,72,3322,83%,
2016/1/27--22:02:00,2016/1/28--5:23:00,7:20,64,2737,84%,
2016/1/28--22:11:00,2016/1/29--5:26:00,7:15,83,4382,76%,
2016/1/29--21:47:00,2016/1/30--6:06:00,8:19,74,8097,88%,
2016/1/31--22:58:00,2016/2/1--6:19:00,7:20,100,2753,78%,
2016/2/1--22:02:00,2016/2/2--5:27:00,7:25,79,14508,82%,
2016/2/2--21:47:00,2016/2/3--5:20:00,7:33,75,19558,72%,
2016/2/3--22:54:00,2016/2/4--6:20:00,7:26,90,4057,79%,
2016/2/4--22:17:00,2016/2/5--6:53:00,8:35,73,7191,74%,
2016/2/5--23:45:00,2016/2/6--7:35:00,7:50,88,13375,84%,
2016/2/6--22:55:00,2016/2/7--7:35:00,8:40,66,13633,91%,
2016/2/8--0:44:00,2016/2/8--7:45:00,7:01,98,17427,68%,
2016/2/8--22:43:00,2016/2/9--6:40:00,7:56,69,3511,77%,
2016/2/9--21:57:00,2016/2/10--5:31:00,7:33,78,1947,66%,
2016/2/13--23:41:00,2016/2/14--5:11:00,5:30,87,638,38%,
2016/2/14--22:07:00,2016/2/15--5:53:00,7:45,82,8967,84%,
2016/2/15--22:07:00,2016/2/16--5:25:00,7:18,65,8719,76%,
2016/2/16--22:20:00,2016/2/17--5:32:00,7:12,88,13999,70%,
2016/2/17--21:33:00,2016/2/18--6:24:00,8:51,89,12098,90%,
2016/2/18--22:47:00,2016/2/19--6:26:00,7:39,100,16396,77%,
2016/2/20--23:12:00,2016/2/21--7:41:00,8:28,100,11934,69%,
2016/2/22--22:04:00,2016/2/23--6:23:00,8:19,84,8464,85%,
2016/2/23--22:18:00,2016/2/24--6:25:00,8:06,74,19082,94%,
2016/2/24--21:59:00,2016/2/25--5:43:00,7:44,92,12885,88%,
2016/2/26--0:15:00,2016/2/26--6:35:00,6:20,83,10495,68%,
2016/2/27--23:33:00,2016/2/28--7:50:00,8:17,93,19031,92%,
2016/2/28--22:19:00,2016/2/29--5:45:00,7:25,66,4061,64%,
2016/2/29--21:55:00,2016/3/1--6:22:00,8:26,73,18052,78%,
2016/3/1--23:22:00,2016/3/2--5:50:00,6:28,92,17151,70%,
2016/3/2--22:15:00,2016/3/3--6:21:00,8:06,66,9756,95%,
2016/3/3--22:01:00,2016/3/4--6:17:00,8:16,88,8131,90%,
2016/3/5--23:20:00,2016/3/6--7:31:00,8:11,66,10054,98%,
2016/3/6--23:08:00,2016/3/7--6:19:00,7:11,60,2166,70%,
2016/3/7--22:50:00,2016/3/8--6:22:00,7:32,92,14063,75%,
2016/3/8--21:40:00,2016/3/9--6:25:00,8:44,64,19290,91%,
2016/3/9--22:40:00,2016/3/10--5:49:00,7:09,70,6177,79%,
2016/3/10--21:35:00,2016/3/11--5:34:00,7:58,80,4900,92%,
2016/3/12--1:33:00,2016/3/12--7:50:00,6:17,68,9969,69%,
2016/3/12--23:44:00,2016/3/13--7:51:00,7:07,76,19473,83%,
2016/3/13--22:47:00,2016/3/14--5:40:00,6:53,91,12116,82%,
2016/3/14--22:16:00,2016/3/15--5:46:00,7:29,90,4675,79%,
2016/3/15--22:41:00,2016/3/16--6:25:00,7:43,91,5451,85%,
2016/3/16--22:25:00,2016/3/17--7:05:00,8:39,88,14306,90%,
2016/3/17--22:46:00,2016/3/18--7:08:00,8:22,76,11899,98%,
2016/3/18--22:17:00,2016/3/19--7:47:00,9:30,99,17449,87%,
2016/3/20--22:13:00,2016/3/21--7:26:00,9:13,82,5767,80%,
2016/3/21--22:37:00,2016/3/22--7:32:00,8:54,85,6909,80%,
2016/3/22--21:22:00,2016/3/23--6:19:00,8:56,93,6214,80%,
2016/3/23--22:06:00,2016/3/24--5:20:00,7:13,76,13594,65%,
2016/3/27--23:28:00,2016/3/28--7:30:00,8:01,61,18193,82%,
2016/3/28--23:32:00,2016/3/29--6:29:00,6:56,80,14244,75%,
2016/3/29--23:12:00,2016/3/30--6:25:00,7:13,66,9691,66%,
2016/3/30--22:58:00,2016/3/31--6:25:00,7:26,68,10805,58%,
2016/3/31--22:47:00,2016/4/1--6:30:00,7:42,73,8867,89%,
2016/4/2--21:20:00,2016/4/3--7:08:00,9:47,63,9752,86%,
2016/4/3--21:44:00,2016/4/4--6:24:00,8:39,61,8723,67%,
2016/4/4--21:23:00,2016/4/5--6:29:00,9:05,100,10110,62%,
2016/4/5--21:13:00,2016/4/6--6:24:00,9:11,83,17664,81%,
2016/4/6--23:00:00,2016/4/7--5:55:00,6:55,74,9847,73%,
2016/4/7--21:48:00,2016/4/8--5:49:00,8:00,95,1972,81%,
2016/4/9--0:51:00,2016/4/9--7:21:00,6:30,84,10467,53%,
2016/4/9--22:59:00,2016/4/10--7:59:00,9:00,90,18253,94%,
2016/4/10--22:04:00,2016/4/11--5:16:00,7:12,66,6986,67%,
2016/4/11--22:35:00,2016/4/12--5:54:00,7:19,86,18193,82%,
2016/4/12--22:18:00,2016/4/13--5:52:00,7:33,94,6944,85%,
2016/4/13--22:27:00,2016/4/14--6:13:00,7:45,65,10537,77%,
2016/4/14--21:43:00,2016/4/15--6:24:00,8:41,78,6347,94%,
2016/4/15--22:38:00,2016/4/16--7:25:00,8:47,83,7283,81%,
2016/4/17--21:34:00,2016/4/18--6:26:00,8:52,79,9349,75%,
2016/4/19--21:21:00,2016/4/20--6:20:00,8:59,100,8185,79%,
2016/4/20--21:25:00,2016/4/21--5:35:00,8:09,90,19840,81%,
2016/4/21--21:54:00,2016/4/22--5:35:00,7:40,72,13030,79%,
2016/4/22--5:37:00,2016/4/22--6:20:00,0:42,84,8860,9%,
2016/4/23--0:46:00,2016/4/23--7:54:00,7:07,86,10087,65%,
2016/4/24--22:30:00,2016/4/25--6:14:00,7:43,63,10347,81%,
2016/4/25--22:07:00,2016/4/26--5:39:00,7:31,99,15988,87%,
2016/4/26--22:48:00,2016/4/27--6:20:00,7:32,96,1355,74%,
2016/4/27--22:24:00,2016/4/28--6:25:00,8:01,68,3721,92%,
2016/4/28--22:23:00,2016/4/29--6:17:00,7:53,61,12001,95%,
2016/4/29--22:47:00,2016/4/30--5:57:00,7:09,75,15626,81%,
2016/5/1--21:27:00,2016/5/2--6:15:00,8:47,86,18523,95%,
2016/5/2--21:50:00,2016/5/3--6:20:00,8:29,79,628,85%,
2016/5/3--22:19:00,2016/5/4--6:20:00,8:01,93,5025,79%,
2016/5/4--22:16:00,2016/5/5--6:30:00,8:13,95,11513,83%,
2016/5/5--22:20:00,2016/5/6--6:15:00,7:54,69,15978,89%,
2016/5/6--23:07:00,2016/5/7--7:08:00,8:00,82,12164,87%,
2016/5/7--23:20:00,2016/5/8--7:12:00,7:51,68,16644,93%,
2016/5/8--23:44:00,2016/5/9--6:20:00,6:36,71,9743,74%,
2016/5/9--22:10:00,2016/5/10--5:41:00,7:30,74,9677,83%,
2016/5/10--23:10:00,2016/5/11--5:30:00,6:20,96,18900,74%,
2016/5/11--22:43:00,2016/5/12--6:25:00,7:41,95,11902,80%,
2016/5/12--23:50:00,2016/5/13--6:50:00,6:59,61,18114,83%,
2016/5/13--23:08:00,2016/5/14--7:53:00,8:45,83,19513,100%,
2016/5/15--21:34:00,2016/5/16--6:07:00,8:33,78,14247,81%,
2016/5/16--21:34:00,2016/5/17--6:15:00,8:40,80,3286,85%,
2016/5/17--20:53:00,2016/5/18--6:10:00,9:16,73,9794,83%,
2016/5/18--22:26:00,2016/5/19--5:40:00,7:14,63,18429,79%,
2016/5/20--0:00:00,2016/5/20--6:30:00,6:30,92,14390,76%,
2016/5/20--23:14:00,2016/5/21--7:34:00,8:19,100,15958,91%,
